2025-04-24 10:19:53.628 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 10:19:53.666 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 10:20:05.285 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 10:20:05.315 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 10:20:05.327 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 10:20:05.378 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 10:21:25.990 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 10:21:26.028 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 10:21:26.036 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 10:21:26.060 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 10:21:49.626 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 10:21:49.667 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 10:21:49.674 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 10:21:49.695 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 10:22:23.336 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 10:22:23.359 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 10:56:52.187 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 10:56:52.239 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 10:57:03.112 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 10:57:03.134 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 10:59:03.081 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 10:59:03.113 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 10:59:08.824 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 10:59:08.845 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 11:08:11.371 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 11:08:11.402 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 11:08:11.930 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 11:08:11.956 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 11:11:25.261 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 11:11:25.296 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 11:11:26.069 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 11:11:26.119 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 11:11:51.628 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 11:11:51.665 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 11:11:52.453 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 11:11:52.513 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 11:12:44.687 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 11:12:44.711 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-24 11:12:45.542 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-24 11:12:45.563 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-24 11:13:28.264 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-24 11:13:28.299 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-25 18:59:52.681 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-25 18:59:52.713 [info] Added views:workbench.debug.welcome in workbench.view.debug
